,juror,country,fight,role,score,participant,problem,round,fightName
0,Alberto Rolandi,Slovenia,1,Rep,7.0,Rok Grgic MeskoandMaks Repse,13. Chaotic Magnetic Pendulum,1,Selective Fight 1| Room Room 4| Round 1
188,Nikola Poljak,Denmark,1,Mod,9.0,Juan Felipe Cespedes Moreno,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
189,Oscar Mauricio Pimentel Díaz,Sweden,1,Rep,8.0,Xin Chen,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
190,Oscar Mauricio Pimentel Díaz,Switzerland,1,Opp,7.0,Jan Jakub Frybes,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
191,Oscar Mauricio Pimentel Díaz,Denmark,1,Mod,9.0,Juan Felipe Cespedes Moreno,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
192,Urban Mur,Sweden,1,Rep,8.0,Xin Chen,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
193,Urban Mur,Switzerland,1,Opp,8.0,Jan Jakub Frybes,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
194,Urban Mur,Denmark,1,Mod,9.0,Juan Felipe Cespedes Moreno,15. Galileo method,3,Selective Fight 1| Room Room 5| Round 3
195,Charlie Pretot,UK,1,Rep,3.0,George Leonard,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
196,Charlie Pretot,Germany,1,Opp,9.0,Florian Hirsch,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
197,Charlie Pretot,Colombia,1,Mod,6.0,Juan Andres Guarin Rojas,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
198,Frederik Durhuus,UK,1,Rep,3.0,George Leonard,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
199,Frederik Durhuus,Germany,1,Opp,8.0,Florian Hirsch,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
200,Frederik Durhuus,Colombia,1,Mod,5.0,Juan Andres Guarin Rojas,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
201,Jose Ricardo Mejía Mora,UK,1,Rep,5.0,George Leonard,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
202,Jose Ricardo Mejía Mora,Germany,1,Opp,9.0,Florian Hirsch,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
203,Jose Ricardo Mejía Mora,Colombia,1,Mod,8.0,Juan Andres Guarin Rojas,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
204,Pawel Szczypkowski,UK,1,Rep,4.0,George Leonard,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
205,Pawel Szczypkowski,Germany,1,Opp,8.0,Florian Hirsch,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
206,Pawel Szczypkowski,Colombia,1,Mod,6.0,Juan Andres Guarin Rojas,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
207,Pierre-Louis de Assis,UK,1,Rep,3.0,George Leonard,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
208,Pierre-Louis de Assis,Germany,1,Opp,8.0,Florian Hirsch,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
209,Pierre-Louis de Assis,Colombia,1,Mod,8.0,Juan Andres Guarin Rojas,11. Smashing Spheres,3,Selective Fight 1| Room Room 3| Round 3
210,Eduar Becerra,Brazil,1,Rep,8.0,Lucas Nogueira,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
211,Eduar Becerra,Poland,1,Opp,6.0,Michal Zdziennicki,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
212,Eduar Becerra,Romania,1,Mod,7.0,Bucur-Andrei Borcoman,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
213,Jose Daniel Muñoz Castaño,Brazil,1,Rep,8.0,Lucas Nogueira,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
214,Jose Daniel Muñoz Castaño,Poland,1,Opp,6.0,Michal Zdziennicki,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
215,Jose Daniel Muñoz Castaño,Romania,1,Mod,7.0,Bucur-Andrei Borcoman,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
216,Kseniia Minakova,Brazil,1,Rep,9.0,Lucas Nogueira,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
217,Kseniia Minakova,Poland,1,Opp,7.0,Michal Zdziennicki,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
218,Kseniia Minakova,Romania,1,Mod,5.0,Bucur-Andrei Borcoman,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
219,Mathieu Suter,Brazil,1,Rep,8.0,Lucas Nogueira,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
220,Mathieu Suter,Poland,1,Opp,8.0,Michal Zdziennicki,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
221,Mathieu Suter,Romania,1,Mod,6.0,Bucur-Andrei Borcoman,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
222,Peter Vesborg,Brazil,1,Rep,7.0,Lucas Nogueira,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
223,Peter Vesborg,Poland,1,Opp,7.0,Michal Zdziennicki,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
224,Peter Vesborg,Romania,1,Mod,8.0,Bucur-Andrei Borcoman,5. Sparkler,3,Selective Fight 1| Room Room 1| Round 3
225,Diego Gallego,Netherlands,1,Rep,5.0,Antoni Skoczypiec,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
226,Diego Gallego,Italy,1,Opp,5.0,Luca Perego,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
227,Diego Gallego,Ukraine,1,Mod,7.0,Daryna Sych,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
228,Federico Serrano,Netherlands,1,Rep,6.0,Antoni Skoczypiec,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
229,Federico Serrano,Italy,1,Opp,6.0,Luca Perego,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
230,Federico Serrano,Ukraine,1,Mod,8.0,Daryna Sych,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
231,Jean-Philippe Ansermet,Netherlands,1,Rep,2.0,Antoni Skoczypiec,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
232,Jean-Philippe Ansermet,Italy,1,Opp,5.0,Luca Perego,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
233,Jean-Philippe Ansermet,Ukraine,1,Mod,7.0,Daryna Sych,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
234,Leandro Tessler,Netherlands,1,Rep,4.0,Antoni Skoczypiec,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
235,Leandro Tessler,Italy,1,Opp,4.0,Luca Perego,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
236,Leandro Tessler,Ukraine,1,Mod,5.0,Daryna Sych,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
237,Suzanne Andersen,Netherlands,1,Rep,7.0,Antoni Skoczypiec,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
238,Suzanne Andersen,Italy,1,Opp,7.0,Luca Perego,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
239,Suzanne Andersen,Ukraine,1,Mod,8.0,Daryna Sych,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
240,Yeinizon Rodriguez,Netherlands,1,Rep,9.0,Antoni Skoczypiec,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
241,Yeinizon Rodriguez,Italy,1,Opp,8.0,Luca Perego,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
242,Yeinizon Rodriguez,Ukraine,1,Mod,10.0,Daryna Sych,12. Inverse coffee cup vibration problem,3,Selective Fight 1| Room Room 2| Round 3
243,David Collomb,Romania,2,Rep,4.0,Sebastian Casian Chiriac,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
244,David Collomb,Slovenia,2,Opp,6.0,Tijan Prijon,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
245,David Collomb,UK,2,Mod,8.0,George Leonard,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
246,Diego Gallego,Romania,2,Rep,6.0,Sebastian Casian Chiriac,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
247,Diego Gallego,Slovenia,2,Opp,7.0,Tijan Prijon,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
248,Diego Gallego,UK,2,Mod,8.0,George Leonard,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
249,Jean-Philippe Ansermet,Romania,2,Rep,4.0,Sebastian Casian Chiriac,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
250,Jean-Philippe Ansermet,Slovenia,2,Opp,5.0,Tijan Prijon,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
251,Jean-Philippe Ansermet,UK,2,Mod,8.0,George Leonard,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
252,Leandro Tessler,Romania,2,Rep,2.0,Sebastian Casian Chiriac,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
253,Leandro Tessler,Slovenia,2,Opp,4.0,Tijan Prijon,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
254,Leandro Tessler,UK,2,Mod,6.0,George Leonard,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
255,Suzanne Andersen,Romania,2,Rep,3.0,Sebastian Casian Chiriac,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
256,Suzanne Andersen,Slovenia,2,Opp,5.0,Tijan Prijon,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
257,Suzanne Andersen,UK,2,Mod,8.0,George Leonard,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
258,Yeinizon Rodriguez,Romania,2,Rep,5.0,Sebastian Casian Chiriac,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
259,Yeinizon Rodriguez,Slovenia,2,Opp,7.0,Tijan Prijon,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
260,Yeinizon Rodriguez,UK,2,Mod,9.0,George Leonard,11. Smashing Spheres,1,Selective Fight 2| Room Room 1| Round 1
261,Andrés Camilo Garcia Castro,Netherlands,2,Rep,6.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
262,Andrés Camilo Garcia Castro,Denmark,2,Opp,7.0,Juan Felipe Cespedes Moreno,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
263,Andrés Camilo Garcia Castro,Croatia,2,Mod,7.0,Laura Busak,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
264,Charlie Pretot,Netherlands,2,Rep,5.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
265,Charlie Pretot,Denmark,2,Opp,7.0,Juan Felipe Cespedes Moreno,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
266,Charlie Pretot,Croatia,2,Mod,7.0,Laura Busak,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
267,Oscar Mauricio Pimentel Díaz,Netherlands,2,Rep,6.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
268,Oscar Mauricio Pimentel Díaz,Denmark,2,Opp,7.0,Juan Felipe Cespedes Moreno,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
269,Oscar Mauricio Pimentel Díaz,Croatia,2,Mod,6.0,Laura Busak,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
270,Pawel Szczypkowski,Netherlands,2,Rep,8.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
271,Pawel Szczypkowski,Denmark,2,Opp,6.0,Juan Felipe Cespedes Moreno,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
272,Pawel Szczypkowski,Croatia,2,Mod,6.0,Laura Busak,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
273,Pierre-Louis de Assis,Netherlands,2,Rep,6.0,Dragomir Nikolov,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
274,Pierre-Louis de Assis,Denmark,2,Opp,6.0,Juan Felipe Cespedes Moreno,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
275,Pierre-Louis de Assis,Croatia,2,Mod,6.0,Laura Busak,15. Galileo method,1,Selective Fight 2| Room Room 5| Round 1
276,Anastasiia Haieva,France,2,Rep,6.0,Alexis Bonnafont,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
277,Anastasiia Haieva,Switzerland,2,Opp,8.0,Pavlo Kashko,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
278,Anastasiia Haieva,Poland,2,Mod,6.0,Kamil Dutkiewicz,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
279,Frederik Durhuus,France,2,Rep,7.0,Alexis Bonnafont,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
280,Frederik Durhuus,Switzerland,2,Opp,8.0,Pavlo Kashko,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
281,Frederik Durhuus,Poland,2,Mod,6.0,Kamil Dutkiewicz,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
282,Jose Daniel Muñoz Castaño,France,2,Rep,5.0,Alexis Bonnafont,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
283,Jose Daniel Muñoz Castaño,Switzerland,2,Opp,7.0,Pavlo Kashko,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
284,Jose Daniel Muñoz Castaño,Poland,2,Mod,4.0,Kamil Dutkiewicz,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
285,Jose Ricardo Mejía Mora,France,2,Rep,7.0,Alexis Bonnafont,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
286,Jose Ricardo Mejía Mora,Switzerland,2,Opp,9.0,Pavlo Kashko,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
287,Jose Ricardo Mejía Mora,Poland,2,Mod,7.0,Kamil Dutkiewicz,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
288,Matheus A. S. Pessoa,France,2,Rep,5.0,Alexis Bonnafont,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
289,Matheus A. S. Pessoa,Switzerland,2,Opp,9.0,Pavlo Kashko,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
290,Matheus A. S. Pessoa,Poland,2,Mod,8.0,Kamil Dutkiewicz,14. Rising in the bulk,1,Selective Fight 2| Room Room 3| Round 1
291,Anastasiia Vasylchenkova,Germany,2,Rep,5.0,Nils Mueller,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
292,Anastasiia Vasylchenkova,Brazil,2,Opp,6.0,Leonardo Falabella,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
293,Anastasiia Vasylchenkova,Ukraine,2,Mod,6.0,Daryna Sych,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
294,José Fernando Rodríguez Ruiz,Germany,2,Rep,6.0,Nils Mueller,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
295,José Fernando Rodríguez Ruiz,Brazil,2,Opp,8.0,Leonardo Falabella,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
296,José Fernando Rodríguez Ruiz,Ukraine,2,Mod,7.0,Daryna Sych,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
297,Karen Milena Fonseca Romero,Germany,2,Rep,7.0,Nils Mueller,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
298,Karen Milena Fonseca Romero,Brazil,2,Opp,6.0,Leonardo Falabella,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
299,Karen Milena Fonseca Romero,Ukraine,2,Mod,6.0,Daryna Sych,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
300,Nikola Poljak,Germany,2,Rep,4.0,Nils Mueller,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
301,Nikola Poljak,Brazil,2,Opp,7.0,Leonardo Falabella,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
302,Nikola Poljak,Ukraine,2,Mod,6.0,Daryna Sych,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
303,Urban Mur,Germany,2,Rep,5.0,Nils Mueller,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
304,Urban Mur,Brazil,2,Opp,8.0,Leonardo Falabella,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
305,Urban Mur,Ukraine,2,Mod,7.0,Daryna Sych,3. Noise FM,1,Selective Fight 2| Room Room 2| Round 1
306,Anastasiia Haieva,Switzerland,2,Rep,8.0,Tobia Fjellman,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
307,Anastasiia Haieva,Poland,2,Opp,5.0,Stanislaw Rakowski,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
308,Anastasiia Haieva,France,2,Mod,7.0,Mattia Mauro,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
309,Frederik Durhuus,Switzerland,2,Rep,6.0,Tobia Fjellman,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
310,Frederik Durhuus,Poland,2,Opp,6.0,Stanislaw Rakowski,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
311,Frederik Durhuus,France,2,Mod,9.0,Mattia Mauro,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
312,Jose Daniel Muñoz Castaño,Switzerland,2,Rep,7.0,Tobia Fjellman,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
313,Jose Daniel Muñoz Castaño,Poland,2,Opp,7.0,Stanislaw Rakowski,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
314,Jose Daniel Muñoz Castaño,France,2,Mod,6.0,Mattia Mauro,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
315,Jose Ricardo Mejía Mora,Switzerland,2,Rep,6.0,Tobia Fjellman,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
316,Jose Ricardo Mejía Mora,Poland,2,Opp,6.0,Stanislaw Rakowski,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
317,Jose Ricardo Mejía Mora,France,2,Mod,6.0,Mattia Mauro,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
318,Matheus A. S. Pessoa,Switzerland,2,Rep,6.0,Tobia Fjellman,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
319,Matheus A. S. Pessoa,Poland,2,Opp,6.0,Stanislaw Rakowski,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
320,Matheus A. S. Pessoa,France,2,Mod,8.0,Mattia Mauro,3. Noise FM,2,Selective Fight 2| Room Room 3| Round 2
321,David Collomb,Slovenia,2,Rep,5.0,Tijan Prijon,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
322,David Collomb,UK,2,Opp,7.0,Tamas Daniel Lipovics,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
323,David Collomb,Romania,2,Mod,6.0,Bucur-Andrei Borcoman,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
324,Diego Gallego,Slovenia,2,Rep,6.0,Tijan Prijon,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
325,Diego Gallego,UK,2,Opp,6.0,Tamas Daniel Lipovics,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
326,Diego Gallego,Romania,2,Mod,7.0,Bucur-Andrei Borcoman,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
327,Jean-Philippe Ansermet,Slovenia,2,Rep,7.0,Tijan Prijon,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
328,Jean-Philippe Ansermet,UK,2,Opp,6.0,Tamas Daniel Lipovics,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
329,Jean-Philippe Ansermet,Romania,2,Mod,5.0,Bucur-Andrei Borcoman,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
330,Leandro Tessler,Slovenia,2,Rep,5.0,Tijan Prijon,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
331,Leandro Tessler,UK,2,Opp,8.0,Tamas Daniel Lipovics,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
332,Leandro Tessler,Romania,2,Mod,8.0,Bucur-Andrei Borcoman,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
333,Suzanne Andersen,Slovenia,2,Rep,4.0,Tijan Prijon,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
334,Suzanne Andersen,UK,2,Opp,5.0,Tamas Daniel Lipovics,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
335,Suzanne Andersen,Romania,2,Mod,8.0,Bucur-Andrei Borcoman,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
336,Yeinizon Rodriguez,Slovenia,2,Rep,6.0,Tijan Prijon,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
337,Yeinizon Rodriguez,UK,2,Opp,10.0,Tamas Daniel Lipovics,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
338,Yeinizon Rodriguez,Romania,2,Mod,8.0,Bucur-Andrei Borcoman,5. Sparkler,2,Selective Fight 2| Room Room 1| Round 2
339,Anastasiia Vasylchenkova,Brazil,2,Rep,7.0,Gustavo Froes,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
340,Anastasiia Vasylchenkova,Ukraine,2,Opp,7.0,Anastasiia Romanchuk,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
341,Anastasiia Vasylchenkova,Germany,2,Mod,9.0,Lisanne  Loher,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
342,José Fernando Rodríguez Ruiz,Brazil,2,Rep,8.0,Gustavo Froes,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
343,José Fernando Rodríguez Ruiz,Ukraine,2,Opp,7.0,Anastasiia Romanchuk,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
344,José Fernando Rodríguez Ruiz,Germany,2,Mod,7.0,Lisanne  Loher,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
345,Karen Milena Fonseca Romero,Brazil,2,Rep,8.0,Gustavo Froes,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
346,Karen Milena Fonseca Romero,Ukraine,2,Opp,7.0,Anastasiia Romanchuk,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
347,Karen Milena Fonseca Romero,Germany,2,Mod,7.0,Lisanne  Loher,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
348,Nikola Poljak,Brazil,2,Rep,9.0,Gustavo Froes,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
349,Nikola Poljak,Ukraine,2,Opp,7.0,Anastasiia Romanchuk,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
350,Nikola Poljak,Germany,2,Mod,8.0,Lisanne  Loher,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
351,Urban Mur,Brazil,2,Rep,6.0,Gustavo Froes,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
352,Urban Mur,Ukraine,2,Opp,5.0,Anastasiia Romanchuk,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
353,Urban Mur,Germany,2,Mod,8.0,Lisanne  Loher,14. Rising in the bulk,2,Selective Fight 2| Room Room 2| Round 2
354,Andrés Camilo Garcia Castro,Denmark,2,Rep,6.0,Paolo Vincenzo Freiesleben de Blasio,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
355,Andrés Camilo Garcia Castro,Croatia,2,Opp,7.0,Maja Milas,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
356,Andrés Camilo Garcia Castro,Netherlands,2,Mod,5.0,Szymon Blazuski,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
357,Charlie Pretot,Denmark,2,Rep,6.0,Paolo Vincenzo Freiesleben de Blasio,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
358,Charlie Pretot,Croatia,2,Opp,6.0,Maja Milas,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
359,Charlie Pretot,Netherlands,2,Mod,8.0,Szymon Blazuski,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
360,Oscar Mauricio Pimentel Díaz,Denmark,2,Rep,8.0,Paolo Vincenzo Freiesleben de Blasio,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
361,Oscar Mauricio Pimentel Díaz,Croatia,2,Opp,7.0,Maja Milas,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
362,Oscar Mauricio Pimentel Díaz,Netherlands,2,Mod,6.0,Szymon Blazuski,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
363,Pawel Szczypkowski,Denmark,2,Rep,7.0,Paolo Vincenzo Freiesleben de Blasio,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
364,Pawel Szczypkowski,Croatia,2,Opp,6.0,Maja Milas,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
365,Pawel Szczypkowski,Netherlands,2,Mod,6.0,Szymon Blazuski,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
366,Pierre-Louis de Assis,Denmark,2,Rep,6.0,Paolo Vincenzo Freiesleben de Blasio,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
367,Pierre-Louis de Assis,Croatia,2,Opp,7.0,Maja Milas,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
368,Pierre-Louis de Assis,Netherlands,2,Mod,5.0,Szymon Blazuski,10. Droplet sandy fingerprints,2,Selective Fight 2| Room Room 5| Round 2
369,Andrés Camilo Garcia Castro,Croatia,2,Rep,5.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,3,Selective Fight 2| Room Room 5| Round 3
370,Andrés Camilo Garcia Castro,Netherlands,2,Opp,8.0,Antoni Skoczypiec,13. Chaotic Magnetic Pendulum,3,Selective Fight 2| Room Room 5| Round 3
371,Andrés Camilo Garcia Castro,Denmark,2,Mod,8.0,Joachim Hermansen,13. Chaotic Magnetic Pendulum,3,Selective Fight 2| Room Room 5| Round 3
372,Charlie Pretot,Croatia,2,Rep,6.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,3,Selective Fight 2| Room Room 5| Round 3
373,Charlie Pretot,Netherlands,2,Opp,7.0,Antoni Skoczypiec,13. Chaotic Magnetic Pendulum,3,Selective Fight 2| Room Room 5| Round 3
374,Charlie Pretot,Denmark,2,Mod,9.0,Joachim Hermansen,13. Chaotic Magnetic Pendulum,3,Selective Fight 2| Room Room 5| Round 3
375,Oscar Mauricio Pimentel Díaz,Croatia,2,Rep,6.0,Iskra Hrncic,13. Chaotic Magnetic Pendulum,3,Selective Fight 2| Room Room 5| Round 3
